"iter","model","nri_value","nri_ci","nri_p","idi_value","idi_ci","idi_p"
75,"test_full","0.5","0.0999 - 0.9001","0.01431","0.2953","0.099 - 0.4916","0.00319"
75,"train_clin","0.3195","0.0641 - 0.575","0.0142","0.3842","0.2669 - 0.5015","0"
75,"train_full","0.4098","0.1394 - 0.6801","0.00297","0.3842","0.2669 - 0.5015","0"
76,"test_clin","0","0 - 0",NA,"0.262","0.0558 - 0.4681","0.01275"
76,"test_full","0.3333","-0.0439 - 0.7105","0.08326","0.262","0.0558 - 0.4681","0.01275"
76,"train_clin","0.3195","-0.0036 - 0.6427","0.05262","0.4286","0.2991 - 0.5581","0"
76,"train_full","0.5338","0.2402 - 0.8275","0.00037","0.4286","0.2991 - 0.5581","0"
78,"test_clin","0","0 - 0",NA,"0.2435","0.1157 - 0.3712","0.00019"
78,"test_full","0.8333","0.5351 - 1.1315","0","0.2435","0.1157 - 0.3712","0.00019"
78,"train_clin","0.2481","-0.0549 - 0.5512","0.10856","0.4158","0.2812 - 0.5503","0"
78,"train_full","0.4286","0.1693 - 0.6878","0.00119","0.4158","0.2812 - 0.5503","0"
79,"test_clin","0.125","-0.3907 - 0.6407","0.63473","0.1735","-0.0758 - 0.4228","0.17256"
79,"test_full","0.4583","-0.1028 - 1.0195","0.10938","0.1735","-0.0758 - 0.4228","0.17256"
79,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.2626","0.1414 - 0.3838","2e-05"
79,"train_full","0.2857","0.0491 - 0.5224","0.01796","0.2626","0.1414 - 0.3838","2e-05"
8,"test_clin","0.1667","-0.3832 - 0.7165","0.55245","0.3341","0.0749 - 0.5934","0.01152"
8,"test_full","0.5","0.0999 - 0.9001","0.01431","0.3341","0.0749 - 0.5934","0.01152"
8,"train_clin","0.3008","0.0548 - 0.5467","0.01654","0.3346","0.225 - 0.4441","0"
8,"train_full","0.515","0.2152 - 0.8148","0.00076","0.3346","0.225 - 0.4441","0"
81,"test_clin","-0.3333","-0.7105 - 0.0439","0.08326","0.3024","0.0505 - 0.5544","0.01864"
81,"test_full","0.75","0.4499 - 1.0501","0","0.3024","0.0505 - 0.5544","0.01864"
81,"train_clin","0.4248","0.0798 - 0.7698","0.01579","0.4679","0.3442 - 0.5916","0"
81,"train_full","0.6429","0.3919 - 0.8939","0","0.4679","0.3442 - 0.5916","0"
82,"test_clin","-0.0833","-0.5064 - 0.3397","0.69943","0.3076","0.0707 - 0.5444","0.01093"
82,"test_full","0.6667","0.2895 - 1.0439","0.00053","0.3076","0.0707 - 0.5444","0.01093"
82,"train_clin","0.1241","-0.1357 - 0.3838","0.34925","0.3193","0.1939 - 0.4447","0"
82,"train_full","0.4286","0.1693 - 0.6878","0.00119","0.3193","0.1939 - 0.4447","0"
83,"test_clin","0","0 - 0",NA,"0.1593","0.0578 - 0.2608","0.0021"
83,"test_full","0.1667","-0.1315 - 0.4649","0.27332","0.1593","0.0578 - 0.2608","0.0021"
83,"train_clin","0.0338","-0.1591 - 0.2268","0.73112","0.1693","0.0663 - 0.2722","0.00127"
83,"train_full","0.3383","0.0813 - 0.5954","0.00989","0.1693","0.0663 - 0.2722","0.00127"
84,"test_clin","-0.25","-0.8009 - 0.3009","0.37373","-0.0253","-0.2926 - 0.242","0.85278"
84,"test_full","0.0833","-0.5843 - 0.751","0.80673","-0.0253","-0.2926 - 0.242","0.85278"
84,"train_clin","0.3008","-0.015 - 0.6165","0.0619","0.3276","0.2183 - 0.437","0"
84,"train_full","0.6165","0.3267 - 0.9064","3e-05","0.3276","0.2183 - 0.437","0"
85,"test_clin","0.1667","-0.1315 - 0.4649","0.27332","0.2944","0.1388 - 0.4501","0.00021"
